id,className,classId,dimData
1,1,0,"0.8023,0.72206,0.20583,0.71867,0.69765"
1,1,0,"0.82484,0.82405,0.61009,0.28467,0.43089"
1,1,1,"0.85394,0.61753,0.48351,0.16658,0.56194"
1,1,0,"0.87,0.82235,0.66882,0.35203,0.19322"
1,1,0,"0.92761,0.80123,0.71268,0.29346,0.30789"
1,1,0,"0.73973,0.78016,0.74574,0.32938,0.14514"
1,1,0,"0.83967,0.75899,0.57159,0.31872,0.67512"
1,1,0,"0.84723,0.74248,0.72975,0.33058,0.49481"
1,1,0,"0.88157,0.55818,0.48792,0.15509,0.34968"
1,1,0,"0.8637,0.70387,0.76184,0.28662,0.27647"
1,1,0,"0.79287,0.82845,0.75054,0.30273,0.56849"
1,1,0,"0.88197,0.53198,0.61103,0.53527,0.33018"
1,1,1,"0.95444,0.68816,0.8823,0.24408,0.32555"
1,1,0,"0.92386,0.25287,0.58387,0.27604,0.40429"
1,1,0,"0.91781,0.034475,0.27046,0.027331,0.61902"
1,1,1,"0.91103,0.56154,0.57785,0.14031,0.34263"
1,1,1,"0.48493,0.62496,0.85927,0.35124,0.20888"
1,1,0,"0.91963,0.69472,0.46983,0.19859,0.41842"
1,1,1,"0.89952,0.44071,0.62831,1,0.35879"
1,1,1,"0.96038,0.74087,0.74951,0.27877,0.50021"
1,1,0,"0.89858,0.75174,0.69229,0.27622,0.71229"
1,1,0,"0.93197,0.68,0.6272,0.4534,0.57552"
1,1,1,"0.88621,0.61246,0.54679,0.35385,0.66697"
1,1,0,"0.89363,0.66232,0.82476,0.2631,0.21241"
1,1,0,"0.41374,0.93689,0.61092,0.21166,0.52343"
1,1,1,"0.95819,0.74464,0.87882,0.32822,0.68708"
1,1,1,"0.98176,0.2132,0.56414,0.31514,0.69175"
1,1,0,"0.91421,0.73239,0.70523,0.41399,0.21628"
1,1,0,"0.96194,0.81631,0.63676,0.3263,0.40975"
1,1,0,"0.7876,0.89195,0.53766,0.29573,0.16074"
1,1,0,"0.8285,0.2099,0.41357,0.82171,0.32833"
